state,county,station_x,year,jan_x,feb_x,mar_x,apr_x,may_x,jun_x,jul_x,aug_x,sep_x,oct_x,nov_x,dec_x,plant_acres,harvest_acres,yield_acres,bales,station_y,jan_y,feb_y,mar_y,apr_y,may_y,jun_y,jul_y,aug_y,sep_y,oct_y,nov_y,dec_y,total_percent_lost
TX,Upton,USH00415707,2010,376,155,73,503,194,869,1850,2208,339,0,0,0,15000,14800,668.108108108,20600,USC00415707,764,859,1405,1961,2458,3033,2727,2971,2597,2090,1410,1064,12.0
TX,Bexar,USH00417945,2010,1130,1114,531,909,1139,1077,933,18,2381,43,66,161,1200,1200,1120.0,2800,USC00417947,995,927,1525,2016,2504,2839,2859,3016,2644,2106,1657,1194,12.0
TX,Hale,USH00417079,2010,434,446,606,1129,483,602,1846,442,214,466,165,0,247000,224500,1016.65924276,475500,USC00410012,274,251,893,1447,1836,2569,2369,2520,2257,1649,894,610,12.0
TX,Sherman,USH00418692,2010,263,396,461,304,739,1211,791,740,48,64,25,94,21600,18700,983.1016042780001,38300,USC00418692,136,-181,714,1341,1660,2488,2545,2519,2306,1550,684,355,12.0
TX,Bee,USH00410639,2010,743,1230,362,1296,107,960,2158,137,2696,8,531,97,6900,6900,946.0869565219999,13600,USC00410639,1329,1089,1633,2068,2582,2817,2806,2955,2665,2183,1748,1378,12.0
TX,Scurry,USH00418433,2010,376,874,357,1037,418,1057,1226,195,1542,51,109,71,66000,65800,458.11550152,62800,USC00418433,559,564,1216,1779,2179,2845,2630,2859,2422,1852,1205,830,12.0
TX,Hunt,USH00413734,2010,-9999,1050,1034,218,370,457,503,21,1137,798,1087,279,2400,2100,274.285714286,1200,USC00413734,791,620,1320,1895,2363,2935,3016,3271,2740,1970,1510,937,12.0
TX,Pecos,USH00413280,2010,434,206,69,429,33,310,1563,1051,313,0,0,0,5200,5100,1185.88235294,12600,USC00410482,780,851,1398,1855,2463,2965,2715,2995,2590,2144,1363,1074,12.0
TX,Bailey,USH00416135,2010,369,313,201,397,407,653,591,433,366,381,149,23,77400,73200,730.4918032789999,111400,USC00416135,225,211,830,1356,1791,2563,2455,2491,2269,1529,790,536,12.0
TX,Haskell,USH00413992,2010,711,630,683,1263,227,702,1193,278,1548,41,46,188,74900,72800,599.340659341,90900,USC00413992,493,425,1135,1698,2163,2822,2737,2942,2466,1860,1215,774,12.0
TX,Gaines,USH00418201,2010,444,652,218,371,21,558,1760,148,267,87,0,0,291500,258000,741.9534883719998,398800,USC00418201,474,536,1142,1656,2042,2774,2486,2701,2382,1786,1037,752,12.0
TX,Navarro,USH00412019,2010,-9999,-9999,-9999,-9999,0,470,648,590,1414,552,585,248,19800,19800,656.96969697,27100,USC00412019,690,583,1301,1881,2415,2844,2904,3103,2593,1965,1467,938,12.0
TX,Wharton,USH00412266,2010,882,851,415,125,2002,1180,2960,1006,1788,8,609,1088,55900,53900,750.723562152,84300,USC00412266,948,887,1481,2057,2497,2740,2751,2881,2600,2138,1661,1264,12.0
TX,Shackelford,USH00410120,2010,857,371,686,585,741,783,996,89,940,513,13,302,1800,1800,480.0,1800,USC00410120,569,503,1270,1777,2164,2780,2768,2957,2536,1880,1355,894,12.0
TX,Limestone,USH00415869,2010,812,127,50,0,-9999,1354,329,0,882,254,-9999,-9999,1900,1900,682.1052631580001,2700,USC00415869,677,653,1300,1929,2414,2833,2876,3098,2608,1964,1445,938,12.0
TX,Crosby,USH00412121,2010,246,670,687,1595,518,768,2443,112,1062,928,76,5,208000,204500,717.7701711489999,305800,USC00412121,356,346,1031,1596,1999,2644,2490,2682,2333,1784,1075,719,12.0
TX,Runnels,USH00410493,2010,810,500,400,538,463,503,831,0,882,411,18,198,50100,49100,371.486761711,38000,USC00410493,722,633,1263,1846,2339,2898,2810,3025,2593,1978,1345,952,12.0
TX,Caldwell,USH00415429,2010,720,917,560,794,1144,1261,679,18,1054,0,1088,168,5800,5800,819.310344828,9900,USC00415429,888,823,1428,1944,2511,2793,2826,2970,2612,1982,1466,1101,12.0
TX,Upton,USH00415707,2009,0,132,138,97,269,831,627,249,252,359,18,198,12500,7500,787.2,12300,USC00415707,833,1378,1635,1992,2574,2912,3007,3035,2447,1886,1517,698,11.8
TX,Bexar,USH00417945,2009,70,165,637,521,400,115,123,114,1613,3023,531,489,800,700,1234.28571429,1800,USC00417947,1177,1653,1823,2049,2615,2970,3117,3087,2522,2049,1558,872,11.8
