state,county,station,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,plant_acres,harvest_acres,yield_acres,bales
TX,Upton,USH00415707,2016,21,145,99,947,403,1563,267,274,803,43,631,79,17100,13100,630.229007634,17200
TX,Upton,USH00415707,2015,668,13,498,175,1090,224,41,25,536,1116,838,303,16700,16650,487.207207207,16900
TX,Upton,USH00415707,2014,0,25,15,91,191,241,59,229,328,18,656,61,16800,6900,875.130434783,12580
TX,Upton,USH00415707,2013,364,0,0,15,495,0,537,79,345,635,0,0,14000,8600,731,13100
TX,Upton,USH00415707,2012,406,51,41,71,898,0,176,531,119,10,0,23,17300,8900,399.101123596,7400
TX,Upton,USH00415707,2010,376,155,73,503,194,869,1850,2208,339,0,0,0,15000,14800,668.108108108,20600
TX,Upton,USH00415707,2009,0,132,138,97,269,831,627,249,252,359,18,198,12500,7500,787.2,12300
TX,Upton,USH00415707,2008,87,0,16,33,44,568,92,681,1003,757,0,46,12900,4000,1092,9100
TX,Upton,USH00415707,2007,463,81,376,1105,582,-9999,472,356,785,0,165,36,8900,8900,1240.4494382,23000
TX,Upton,USH00415707,2006,3,21,104,0,104,145,48,-9999,88,328,0,300,9800,5700,715.789473684,8500
TX,Upton,USH00415707,2005,76,449,97,8,414,1656,653,689,0,1222,0,11,10400,10400,752.307692308,16300
TX,Upton,USH00415707,2004,326,166,710,-9999,74,1717,737,931,701,1371,950,39,9200,6800,1023.52941176,14500
TX,Upton,USH00415707,2003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,7700,6200,789.677419355,10200
TX,Upton,USH00415707,2002,38,594,10,126,170,376,-9999,-9999,-9999,-9999,-9999,-9999,10000,6300,525.714285714,6900
TX,Upton,USH00415707,2001,182,102,-9999,-9999,242,-9999,0,269,79,48,1021,99,17300,5700,581.052631579,6900
TX,Upton,USH00415707,2000,-9999,0,-9999,36,0,1041,51,8,0,353,295,53,17200,15500,154.838709677,5000
TX,Upton,USH00415707,1999,66,0,543,248,147,119,1,414,886,491,94,0,15400,11200,265.714285714,6200
TX,Upton,USH00415707,1998,36,84,173,0,69,155,76,622,0,839,82,173,9000,7300,486.575342466,7400
TX,Upton,USH00415707,1997,15,512,46,447,386,630,115,304,472,23,200,470,13300,13000,391.384615385,10600
TX,Upton,USH00415707,1996,0,13,0,340,112,598,59,1297,1350,0,589,0,14400,10900,409.541284404,9300
TX,Upton,USH00415707,1995,190,79,23,295,426,397,143,254,465,140,3,110,13300,13300,418.646616541,11600
TX,Upton,USH00415707,1994,455,0,13,178,371,5,221,427,598,236,18,101,12500,11000,453.818181818,10400
TX,Upton,USH00415707,1993,201,137,63,92,275,25,452,332,216,81,51,231,11200,9600,555,11100
TX,Upton,USH00415707,1992,404,627,249,97,1239,492,1097,967,425,58,87,223,11000,10500,649.142857143,14200
TX,Upton,USH00415707,1991,272,107,0,409,432,569,494,810,1048,36,178,609,12300,11900,411.428571429,10200
TX,Upton,USH00415707,1990,76,318,120,634,66,260,407,216,1162,351,267,178,10900,10700,457.570093458,10200
TX,Upton,USH00415707,1989,115,331,38,208,628,33,178,577,208,142,123,19,8700,8000,384,6400
TX,Upton,USH00415707,1988,0,66,0,74,323,277,275,242,887,0,0,180,10600,9900,581.818181818,12000
TX,Upton,USH00415707,1987,3,411,223,425,930,552,30,239,788,209,5,86,8800,8400,537.142857143,9400
TX,Upton,USH00415707,1986,46,112,36,101,716,924,102,1162,372,5368,102,799,9500,3400,564.705882353,4000
TX,Upton,USH00415707,1985,204,283,69,0,205,488,300,914,840,801,69,0,10300,10000,326.4,6800
TX,Upton,USH00415707,1984,178,76,0,0,416,617,315,26,666,749,363,318,11000,9700,369.154639175,7460
