state,county,station,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,plant_acres,harvest_acres,yield_acres,bales
AL,Baldwin,USC00010583,1990,1259,1504,1677,1877,2297,2661,2706,2767,2559,2003,1579,1371,2760,2760,605.217391304,3480
AL,Baldwin,USC00010583,1991,1083,1353,1655,2087,2430,2596,2683,2648,2451,2018,1184,1223,8500,8400,634.285714286,11100
AL,Baldwin,USC00010583,1992,938,1323,1523,1833,2189,2530,2720,2550,2400,1803,1278,1245,6450,6350,907.086614173,12000
AL,Baldwin,USC00010583,1993,1200,1100,1374,1688,2213,2634,2781,2757,2512,1967,1372,966,10200,10110,798.100890208,16810
AL,Baldwin,USC00010583,1994,812,1351,1601,2024,2251,2606,2606,2624,2434,1988,1686,1214,11650,11560,888.166089965,21390
AL,Baldwin,USC00010583,1995,1075,1229,1609,1941,2386,2528,2755,2787,2492,1988,1313,1030,21670,21650,494.41108545,22300
AL,Baldwin,USC00010583,1996,1036,1207,1332,1795,2390,2581,2758,2650,2442,1959,1517,1266,14900,14700,888.816326531,27220
AL,Baldwin,USC00010583,1997,1041,1290,1895,1762,2219,2499,2706,2708,2598,1957,1288,970,14820,14610,759.917864476,23130
AL,Baldwin,USC00010583,1998,1155,1170,1399,1842,2403,2796,2841,2790,2583,2140,1756,1390,16200,9300,478.451612903,9270
AL,Baldwin,USC00010583,1999,1276,1420,1481,2190,2292,2597,2713,2864,2415,2000,1601,1105,15800,15700,840.76433121,27500
AL,Baldwin,USC00010583,2000,1227,1457,1795,1844,2493,2637,2891,2828,2468,2007,1413,785,17200,16400,570.731707317,19500
AL,Baldwin,USC00010583,2001,821,1450,1420,2002,2349,2596,2700,2637,2389,1815,1802,1327,20700,20600,813.203883495,34900
AL,Baldwin,USC00010583,2002,1117,1072,1543,2088,2357,2633,2717,2686,2650,2261,1351,1088,18100,16500,395.636363636,13600
AL,Baldwin,USC00010583,2003,814,1181,1672,1933,2400,2600,2630,2697,2451,2001,1703,978,12200,11300,722.123893805,17000
AL,Baldwin,USC00010583,2004,1051,989,1766,1825,2326,2603,2727,2591,2501,2287,1690,998,13300,12700,647.433070866,17130
AL,Baldwin,USC00010583,2005,1280,1355,1470,1825,2257,2564,2740,2726,2670,1952,1606,1013,12300,12200,660.983606557,16800
AL,Baldwin,USC00010583,2006,1301,1139,1668,2173,2323,2695,2784,2792,2437,1960,1480,1292,10600,10600,819.622641509,18100
AL,Baldwin,USC00010583,2007,1207,1130,1732,1699,2319,2646,2710,2931,2556,2101,1474,1385,9100,9100,833.406593407,15800
AL,Baldwin,USC00010583,2008,970,1377,1540,1918,2353,2712,2748,2676,2635,1873,1402,1243,9100,9100,1002.1978022,19000
AL,Baldwin,USC00010583,2009,1073,1185,1613,1794,2313,2742,2736,2582,2647,2050,1448,1053,8500,8350,776.047904192,13500
AL,Baldwin,USC00010583,2010,813,777,1365,1979,2505,2803,2840,2888,2664,2071,1649,822,12300,12300,819.512195122,21000
AL,Baldwin,USC00010583,2011,931,1273,1776,2091,2203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18300,17600,760.909090909,27900
AL,Barbour,USC00011725,1972,1035,847,1354,1798,2015,2422,2576,2694,2623,1853,1191,1050,2440,2410,362.489626556,1820
AL,Barbour,USC00011725,1973,763,734,1594,1597,2048,2457,2592,2575,2566,1964,1480,831,1770,1710,421.052631579,1500
AL,Barbour,USC00011725,1974,1481,964,1517,1760,2240,2314,2570,2550,2232,1659,1269,883,2700,2620,452.519083969,2470
AL,Barbour,USC00011725,1975,1022,1110,1237,1645,2297,2493,2534,2604,2219,1961,1356,846,2100,2090,316.937799043,1380
AL,Barbour,USC00011725,1976,536,1278,1626,1854,1954,2377,2572,2502,2263,1491,881,666,2000,2000,528,2200
AL,Barbour,USC00011725,1977,145,795,1486,1908,2264,2653,2672,2568,2418,1585,1357,769,2680,2600,308.307692308,1670
